image_name,lpips_value
2013-11-08 164524.jpg,0.5570955276489258
2013-11-10 005118.jpg,0.3899182379245758
2013-11-10 064201.jpg,0.37478160858154297
2013-11-10 074323.jpg,0.3110523819923401
2013-11-10 124541.jpg,0.4182923138141632
2013-11-10 193053.jpg,0.4185193181037903
2013-11-10 202752.jpg,0.4584343433380127
2013-11-11 063527.jpg,0.2019399255514145
2013-11-11 085018.jpg,0.43811312317848206
2013-11-11 121046.jpg,0.4324299097061157
2013-11-11 220300.jpg,0.4495182931423187
2013-11-12 015420.jpg,0.45749154686927795
2013-11-12 102919.jpg,0.32020777463912964
2013-11-12 165840.jpg,0.5016272068023682
2013-11-13 084301.jpg,0.3390711843967438
2013-11-14 014420.jpg,0.46105366945266724
2013-11-14 070249.jpg,0.4441062808036804
2013-11-14 070451.jpg,0.4889943301677704
2013-11-14 124750.jpg,0.3547360301017761
2013-11-14 141102.jpg,0.3682668209075928
2013-11-16 041700.jpg,0.4601263403892517
2013-11-17 090509.jpg,0.3960099518299103
2013-11-17 145420.jpg,0.3640289902687073
2013-11-17 164010.jpg,0.6030503511428833
2013-11-17 173609.jpg,0.33063793182373047
2013-11-17 180826.jpg,0.42309218645095825
2013-11-17 235845.jpg,0.4602169990539551
2013-11-18 024231.jpg,0.3589652180671692
2013-11-18 062304.jpg,0.33627891540527344
2013-11-18 065836.jpg,0.3713040053844452
2013-11-18 085205.jpg,0.36758527159690857
2013-11-18 114645.jpg,0.4339372515678406
2013-11-19 005804.jpg,0.3484044671058655
2013-11-19 021117.jpg,0.3014179468154907
2013-11-19 050131.jpg,0.3870851993560791
2013-11-19 224707.jpg,0.3910447359085083
2013-11-20 112132.jpg,0.22437576949596405
2013-11-20 215323.jpg,0.4668140709400177
2013-11-20 232337.jpg,0.32508113980293274
2013-11-21 014741.jpg,0.42786675691604614
2013-11-21 055632.jpg,0.37185707688331604
2013-11-21 164908.jpg,0.4752295911312103
2013-11-21 174444.jpg,0.38333624601364136
2013-11-22 141235.jpg,0.3954502046108246
2013-11-22 141550.jpg,0.37641432881355286
2013-11-23 021920.jpg,0.4164378345012665
2013-11-23 130315.jpg,0.40267398953437805
